Category,English,French,Italian,Russian,Russian (translit.),Greek,Greek (translit.)
Nature,cloud,nuage,nuvola,облако,óblako,σύννεφο,sínnefo
Nature,sea,mer,mare,море,móre,θάλασσα,thálassa
Nature,river,rivière,fiume,река,reká,ποτάμι,potámi
Nature,mountain,montagne,montagna,гора,gorá,βουνό,vounó
Nature,forest,forêt,foresta,лес,les,δάσος,dásos
Nature,tree,arbre,albero,дерево,dérevo,δέντρο,déndro
Nature,flower,fleur,fiore,цветок,tsvetók,λουλούδι,louloúdi
Nature,grass,herbe,erba,трава,traivá,γρασίδι,grasídi
Nature,stone,pierre,pietra,камень,kámen',πέτρα,pétra
Nature,earth,terre,terra,земля,zemlyá,γη,yi
Nature,fire,feu,fuoco,огонь,ogón',φωτιά,fotiá
Nature,air,air,aria,воздух,vózdukh,αέρας,aéras
Nature,weather,temps,tempo,погода,pogóda,καιρός,kerós
Transport,car,voiture,macchina,машина,mashína,αυτοκίνητο,aftokínito
Transport,bus,bus,autobus,автобус,avtóbus,λεωφορείο,leoforío
Transport,train,train,treno,поезд,póyezd,τρένο,tréno
Transport,plane,avion,aereo,самолёт,samolyót,αεροπλάνο,aeropláno
Transport,bicycle,vélo,bicicletta,велосипед,velosipéd,ποδήλατο,podílato
Transport,boat,bateau,barca,лодка,lódka,βάρκα,várka
Transport,taxi,taxi,taxi,такси,taksí,ταξί,taxí
Transport,ship,navire,nave,корабль,korábl',πλοίο,plío
Transport,metro/subway,métro,metro,метро,metró,μετρό,metró
Transport,motorcycle,moto,motocicletta,мотоцикл,mototsíkl,μηχανή,michaní
Transport,road,route,strada,дорога,doróga,δρόμος,drómos
Transport,airport,aéroport,aeroporto,аэропорт,aeropórt,αεροδρόμιο,aerodrómio
Places,city,ville,città,город,górod,πόλη,póli
Places,street,rue,via,улица,úlitsa,δρόμος,drómos
Places,school,école,scuola,школа,shkóla,σχολείο,scholío
Places,hospital,hôpital,ospedale,больница,bol'nítsa,νοσοκομείο,nosokomío
Places,shop/store,magasin,negozio,магазин,magazín,μαγαζί,magazí
Places,market,marché,mercato,рынок,rínok,αγορά,agorá
Places,church,église,chiesa,церковь,tsérkov',εκκλησία,ekklisía
Places,park,parc,parco,парк,park,πάρκο,párko
Places,bank,banque,banca,банк,bank,τράπεζα,trápeza
Places,station,gare,stazione,станция,stántsiya,σταθμός,stathmós
Places,hotel,hôtel,albergo,гостиница,gostínitsa,ξενοδοχείο,xenodochío
Places,library,bibliothèque,biblioteca,библиотека,bibliotéka,βιβλιοθήκη,vivliothíki
Places,museum,musée,museo,музей,muzéy,μουσείο,mousío
Places,university,université,università,университет,universitét,πανεπιστήμιο,panepistímio
Places,country,pays,paese,страна,straná,χώρα,chóra
Professions,teacher,professeur,insegnante,учитель,uchítel',δάσκαλος,dáskalos
Professions,doctor,médecin,dottore,врач,vrach,γιατρός,yatrós
Professions,student,étudiant,studente,студент,studént,φοιτητής,fititís
Professions,engineer,ingénieur,ingegnere,инженер,inzhenér,μηχανικός,michanikós
Professions,lawyer,avocat,avvocato,юрист,yuríst,δικηγόρος,dikigóros
Professions,nurse,infirmier,infermiere,медсестра,medsestrá,νοσοκόμα,noskóma
Professions,police officer,policier,poliziotto,полицейский,politséyskiy,αστυνομικός,astynomikós
Professions,cook/chef,cuisinier,cuoco,повар,póvar,μάγειρας,máyiras
Professions,driver,chauffeur,autista,водитель,vodítel',οδηγός,odigós
Professions,worker,ouvrier,operaio,рабочий,rabóchiy,εργάτης,ergátis
School,book,livre,libro,книга,kníga,βιβλίο,vivlío
School,pen,stylo,penna,ручка,rúchka,στυλό,stiló
School,pencil,crayon,matita,карандаш,karandásh,μολύβι,molívi
School,paper,papier,carta,бумага,bumága,χαρτί,chartí
School,notebook,cahier,quaderno,тетрадь,tetrád',τετράδιο,tetrádio
School,desk,bureau,scrivania,парта,párta,θρανίο,thranío
School,bag,sac,borsa,сумка,súmka,τσάντα,tsánda
School,money,argent,soldi,деньги,dén'gi,χρήματα,chrímata
School,letter,lettre,lettera,письмо,pís'mo,γράμμα,gráma
School,map,carte,mappa,карта,kárta,χάρτης,chártis
School,picture/photo,photo,foto,фотография,fotográfiya,φωτογραφία,fotografía
School,name,nom,nome,имя,ímya,όνομα,ónoma
School,word,mot,parola,слово,slóvo,λέξη,léxi
School,language,langue,lingua,язык,yazík,γλώσσα,glóssa
School,question,question,domanda,вопрос,voprós,ερώτηση,erótisi
Prepositions,in,dans,in,в,v,μέσα σε,mésa se
Prepositions,on,sur,su,на,na,πάνω σε,páno se
Prepositions,under,sous,sotto,под,pod,κάτω από,káto apó
Prepositions,with,avec,con,с,s,με,me
Prepositions,without,sans,senza,без,bez,χωρίς,chorís
Prepositions,before,avant,prima,до,do,πριν,prin
Prepositions,after,après,dopo,после,pósle,μετά,metá
Prepositions,between,entre,tra,между,mézhdu,ανάμεσα,anámesa
Prepositions,towards,vers,verso,к,k,προς,pros
Prepositions,from,de,da,из,iz,από,apó
Prepositions,for,pour,per,для,dlya,για,ya
Prepositions,about,à propos de,riguardo a,о,o,για,ya
Adverbs,very,très,molto,очень,óchen',πολύ,polí
Adverbs,also/too,aussi,anche,тоже,tózhe,επίσης,epísis
Adverbs,always,toujours,sempre,всегда,vsegdá,πάντα,pánda
Adverbs,never,jamais,mai,никогда,nikogdá,ποτέ,poté
Adverbs,often,souvent,spesso,часто,chásto,συχνά,sichná
Adverbs,sometimes,parfois,a volte,иногда,inogdá,μερικές φορές,merikés forés
Adverbs,here,ici,qui,здесь,zdes',εδώ,edó
Adverbs,there,là,lì,там,tam,εκεί,ekí
Adverbs,maybe,peut-être,forse,может быть,mózhet byt',ίσως,ísos
Adverbs,already,déjà,già,уже,uzhé,ήδη,ídi
Adverbs,still/yet,encore,ancora,ещё,eshchyó,ακόμα,akóma
Adverbs,more,plus,più,больше,ból'she,περισσότερο,perisótero
Adverbs,less,moins,meno,меньше,mén'she,λιγότερο,ligótero
Adverbs,enough,assez,abbastanza,достаточно,dostátochno,αρκετά,arketá
Adverbs,together,ensemble,insieme,вместе,vméste,μαζί,mazí
Countries,France,France,Francia,Франция,Frántsiya,Γαλλία,Gallía
Countries,Italy,Italie,Italia,Италия,Itáliya,Ιταλία,Italía
Countries,Russia,Russie,Russia,Россия,Rossíya,Ρωσία,Rosía
Countries,Greece,Grèce,Grecia,Греция,Grétsiya,Ελλάδα,Elláda
Countries,England,Angleterre,Inghilterra,Англия,Ángliya,Αγγλία,Anglía
Countries,Germany,Allemagne,Germania,Германия,Germániya,Γερμανία,Germanía
Countries,Spain,Espagne,Spagna,Испания,Ispániya,Ισπανία,Ispanía
Countries,world,monde,mondo,мир,mir,κόσμος,kósmos
Countries,America,Amérique,America,Америка,Amérika,Αμερική,Amerikí
Countries,China,Chine,Cina,Китай,Kitáy,Κίνα,Kína
Misc,work/job,travail,lavoro,работа,rabóta,δουλειά,douliá
Misc,life,vie,vita,жизнь,zhizn',ζωή,zoí
Misc,love,amour,amore,любовь,lyubóv',αγάπη,agápi
Misc,music,musique,musica,музыка,múzyka,μουσική,mousikí
Misc,film/movie,film,film,фильм,fil'm,ταινία,tenía
Misc,game,jeu,gioco,игра,igrá,παιχνίδι,pechnídi
Misc,sport,sport,sport,спорт,sport,άθλημα,áthlima
Misc,news,nouvelles,notizie,новости,nóvosti,νέα,néa
Misc,problem,problème,problema,проблема,probléma,πρόβλημα,próvlima
Misc,idea,idée,idea,идея,idéya,ιδέα,idéa
Misc,way/road,chemin,strada,путь,put',δρόμος,drómos
Misc,number,nombre,numero,число,chisló,αριθμός,arithmós
Misc,color,couleur,colore,цвет,tsvet,χρώμα,chróma
Misc,price,prix,prezzo,цена,tsená,τιμή,timí
Misc,gift,cadeau,regalo,подарок,podárok,δώρο,dóro
Misc,holiday/vacation,vacances,vacanza,отпуск,ótpusk,διακοπές,diakopés
Misc,party,fête,festa,вечеринка,vecherínka,πάρτι,párti
Misc,dream,rêve,sogno,мечта,mechtá,όνειρο,óniro
Misc,health,santé,salute,здоровье,zdoróv'ye,υγεία,igía
Misc,peace,paix,pace,мир,mir,ειρήνη,iríni
